Lemma	Abs. freq. in full text	Rel. Freq. in full text
quemar	33	0,00010077505176173113
profeta	33	0,00010077505176173113
igualdad	33	0,00010077505176173113
humanal	33	0,00010077505176173113
físico	33	0,00010077505176173113
apartar	33	0,00010077505176173113
calentura	33	0,00010077505176173113
fallesc	32	9,772126231440595e-05
celo	32	9,772126231440595e-05
mero	32	9,772126231440595e-05
puerta	32	9,772126231440595e-05
crecer	32	9,772126231440595e-05
espiritual	32	9,772126231440595e-05
sujeto	32	9,772126231440595e-05
labrar	32	9,772126231440595e-05
spues	32	9,772126231440595e-05
trabajar	32	9,772126231440595e-05
loco	32	9,772126231440595e-05
recho	32	9,772126231440595e-05
aque_a+aque_que	32	9,772126231440595e-05
desordenar	32	9,772126231440595e-05
aventurado	31	9,466747286708076e-05
especialmente	31	9,466747286708076e-05
ventaja	31	9,466747286708076e-05
ambrosio	31	9,466747286708076e-05
vencedor	31	9,466747286708076e-05
mí	31	9,466747286708076e-05
sojuzgar	31	9,466747286708076e-05
mentar	31	9,466747286708076e-05
reducir	31	9,466747286708076e-05
codiciar	31	9,466747286708076e-05
ave	31	9,466747286708076e-05
griego	31	9,466747286708076e-05
contesc	31	9,466747286708076e-05
adir	31	9,466747286708076e-05
magnánimo	31	9,466747286708076e-05
humildoso	31	9,466747286708076e-05
pugnar	31	9,466747286708076e-05
estudiar	30	9,161368341975558e-05
enella_en+enella_él	30	9,161368341975558e-05
vano	30	9,161368341975558e-05
historia	30	9,161368341975558e-05
ion	30	9,161368341975558e-05
hora	30	9,161368341975558e-05
allegar	30	9,161368341975558e-05
soberbio	30	9,161368341975558e-05
meresc	30	9,161368341975558e-05
deshonra	30	9,161368341975558e-05
juan	30	9,161368341975558e-05
asaz	30	9,161368341975558e-05
igualar	30	9,161368341975558e-05
vtudes	30	9,161368341975558e-05
cautela	30	9,161368341975558e-05
palacio	30	9,161368341975558e-05
pmera	30	9,161368341975558e-05
ayuntamiento	30	9,161368341975558e-05
corazón	30	9,161368341975558e-05
fama	29	8,855989397243039e-05
sopho	29	8,855989397243039e-05
lanc	29	8,855989397243039e-05
honestidad	29	8,855989397243039e-05
muchedumbre	29	8,855989397243039e-05
platón	29	8,855989397243039e-05
sanidad	29	8,855989397243039e-05
malicia	29	8,855989397243039e-05
culpa	29	8,855989397243039e-05
saeta	29	8,855989397243039e-05
punto	29	8,855989397243039e-05
discordia	29	8,855989397243039e-05
ayudar	29	8,855989397243039e-05
largo	29	8,855989397243039e-05
abad	29	8,855989397243039e-05
alegría	29	8,855989397243039e-05
hierro	29	8,855989397243039e-05
heredamiento	28	8,550610452510521e-05
ayuda	28	8,550610452510521e-05
silla	28	8,550610452510521e-05
pertenesc	28	8,550610452510521e-05
hilo	28	8,550610452510521e-05
menospreciar	28	8,550610452510521e-05
república	28	8,550610452510521e-05
fiar	28	8,550610452510521e-05
atenas	28	8,550610452510521e-05
oso	28	8,550610452510521e-05
rec	28	8,550610452510521e-05
oración	28	8,550610452510521e-05
deshacer	28	8,550610452510521e-05
espantar	28	8,550610452510521e-05
prometer	28	8,550610452510521e-05
consentimiento	28	8,550610452510521e-05
condenar	28	8,550610452510521e-05
precioso	28	8,550610452510521e-05
procurar	28	8,550610452510521e-05
enellos_en+enellos_ellos	28	8,550610452510521e-05
vegada	28	8,550610452510521e-05
cruel	28	8,550610452510521e-05
fos	28	8,550610452510521e-05
encerrar	28	8,550610452510521e-05
loc	28	8,550610452510521e-05
vejedad	28	8,550610452510521e-05
judío	28	8,550610452510521e-05
contienda	28	8,550610452510521e-05
qer	27	8,245231507778002e-05
estudio	27	8,245231507778002e-05
